Cases,Deaths,Recovered,Province
14,0,0,Punjab
8,0,0,Punjab
26,0,1,Punjab
21,4,2,Sindh
6,0,23,Sindh
6,0,0,Baluchistan
18,0,4,Gilgit-Baltistan
1,0,0,Federal Administration Tribal Area
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
16,0,0,Khyber Pakhtunkhwa
7,0,0,Islamabad Capital Territory
0,3,0,Punjab
14,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
5,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
16,0,0,Sindh
0,0,10,Sindh
94,0,0,Sindh
1,0,0,Sindh
14,0,17,Baluchistan
37,0,0,Gilgit-Baltistan
0,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
10,0,0,Khyber Pakhtunkhwa
1,0,5,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
4,1,10,Khyber Pakhtunkhwa
10,0,0,Khyber Pakhtunkhwa
13,0,0,Islamabad Capital Territory
2,0,0,Azad Jummu Kashmir
1,0,0,Azad Jummu Kashmir
1,1,0,Khyber Pakhtunkhwa
1,1,0,Khyber Pakhtunkhwa
0,0,2,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
1,0,0,Khyber Pakhtunkhwa
2,0,0,Federal Administration Tribal Area
2,0,0,Khyber Pakhtunkhwa
7,0,10,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
33,1,3,Sindh
2,0,0,Punjab
48,0,0,Punjab
7,1,0,Punjab
6,0,0,Baluchistan
28,0,0,Punjab
2,0,0,Punjab
1,0,0,Punjab
8,0,0,Punjab
1,0,0,Punjab
2,0,0,Punjab
16,0,0,Punjab
63,0,0,Punjab
27,0,0,Punjab
3,0,0,Punjab
3,1,0,Gilgit-Baltistan
32,1,9,Sindh
0,1,0,Sindh
0,0,2,Sindh
21,1,0,Punjab
4,0,0,Islamabad Capital Territory
5,0,0,Baluchistan
1,1,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
5,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
6,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
17,0,0,Khyber Pakhtunkhwa
1,0,3,Khyber Pakhtunkhwa
1,0,0,Punjab
2,0,0,Punjab
10,0,0,Punjab
6,0,0,Punjab
6,0,0,Punjab
27,0,0,Punjab
2,0,0,Punjab
1,0,1,Gilgit-Baltistan
1,0,0,Gilgit-Baltistan
1,0,0,Gilgit-Baltistan
6,0,0,Islamabad Capital Territory
40,3,0,Sindh
4,0,0,Khyber Pakhtunkhwa
6,0,0,Baluchistan
6,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
8,0,0,Khyber Pakhtunkhwa
2,1,0,Khyber Pakhtunkhwa
10,1,0,Khyber Pakhtunkhwa
11,0,0,Punjab
5,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
2,0,0,Punjab
1,0,0,Punjab
2,0,0,Punjab
1,0,0,Punjab
11,0,0,Punjab
1,0,0,Punjab
1,0,0,Punjab
12,0,0,Punjab
3,0,0,Punjab
100,0,0,Punjab
7,0,0,Islamabad Capital Territory
6,3,0,Khyber Pakhtunkhwa
30,1,0,Punjab
4,0,0,Khyber Pakhtunkhwa
4,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
3,0,0,Federal Administration Tribal Area
4,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
2,0,1,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
0,0,12,Sindh
10,0,0,Baluchistan
0,0,3,Khyber Pakhtunkhwa
3,0,0,Azad Jummu Kashmir
0,0,5,Gilgit-Baltistan
0,0,9,Gilgit-Baltistan
0,0,3,Gilgit-Baltistan
3,0,0,Islamabad Capital Territory
4,2,0,Khyber Pakhtunkhwa
7,0,0,Khyber Pakhtunkhwa
6,0,0,Khyber Pakhtunkhwa
0,0,1,Khyber Pakhtunkhwa
5,0,0,Khyber Pakhtunkhwa
0,0,1,Khyber Pakhtunkhwa
0,0,1,Khyber Pakhtunkhwa
0,0,2,Khyber Pakhtunkhwa
4,0,4,Khyber Pakhtunkhwa
3,0,9,Khyber Pakhtunkhwa
0,0,1,Khyber Pakhtunkhwa
0,0,1,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
0,0,1,Federal Administration Tribal Area
0,0,1,Federal Administration Tribal Area
41,1,0,Sindh
2,0,0,Azad Jummu Kashmir
6,0,13,Baluchistan
17,0,7,Gilgit-Baltistan
31,0,0,Punjab
0,0,0,Punjab
47,0,0,Punjab
0,0,2,Gilgit-Baltistan
0,0,1,Gilgit-Baltistan
51,2,0,Sindh
0,0,130,Sindh
3,0,31,Baluchistan
20,3,0,Punjab
77,0,0,Punjab
1,0,0,Gilgit-Baltistan
0,0,11,Gilgit-Baltistan
1,0,0,Azad Jummu Kashmir
1,0,0,Khyber Pakhtunkhwa
2,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
4,0,0,Khyber Pakhtunkhwa
3,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
6,0,1,Khyber Pakhtunkhwa
14,0,0,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
1,0,0,Federal Administration Tribal Area
15,0,1,Khyber Pakhtunkhwa
1,0,0,Khyber Pakhtunkhwa
9,0,0,Khyber Pakhtunkhwa
